"iso","timeInterval","scenario","biovar","weightedMean"
"PER","2070","rcp85","biovar19",164.3
"PER","2080","rcp45","biovar01",20.6
"PER","2080","rcp45","biovar02",8.4
"PER","2080","rcp45","biovar03",73.5
"PER","2080","rcp45","biovar04",85.1
"PER","2080","rcp45","biovar05",25.9
"PER","2080","rcp45","biovar06",14.4
"PER","2080","rcp45","biovar07",11.5
"PER","2080","rcp45","biovar08",21.1
"PER","2080","rcp45","biovar09",19.6
"PER","2080","rcp45","biovar10",21.5
"PER","2080","rcp45","biovar11",19.3
"PER","2080","rcp45","biovar12",1694.5
"PER","2080","rcp45","biovar13",288.4
"PER","2080","rcp45","biovar14",49.4
"PER","2080","rcp45","biovar15",57.3
"PER","2080","rcp45","biovar16",677.3
"PER","2080","rcp45","biovar17",198.3
"PER","2080","rcp45","biovar18",560.7
"PER","2080","rcp45","biovar19",222.1
"PER","2080","rcp85","biovar01",21.6
"PER","2080","rcp85","biovar02",8.4
"PER","2080","rcp85","biovar03",73.2
"PER","2080","rcp85","biovar04",86.8
"PER","2080","rcp85","biovar05",27
"PER","2080","rcp85","biovar06",15.5
"PER","2080","rcp85","biovar07",11.6
"PER","2080","rcp85","biovar08",22.2
"PER","2080","rcp85","biovar09",20.6
"PER","2080","rcp85","biovar10",22.6
"PER","2080","rcp85","biovar11",20.4
"PER","2080","rcp85","biovar12",1154.2
"PER","2080","rcp85","biovar13",210
"PER","2080","rcp85","biovar14",28.1
"PER","2080","rcp85","biovar15",62.7
"PER","2080","rcp85","biovar16",491.5
"PER","2080","rcp85","biovar17",129.6
"PER","2080","rcp85","biovar18",380.3
"PER","2080","rcp85","biovar19",144.4
"PER","2090","rcp45","biovar01",20.6
"PER","2090","rcp45","biovar02",8.4
"PER","2090","rcp45","biovar03",73.6
"PER","2090","rcp45","biovar04",85
"PER","2090","rcp45","biovar05",25.9
"PER","2090","rcp45","biovar06",14.4
"PER","2090","rcp45","biovar07",11.5
"PER","2090","rcp45","biovar08",21.2
"PER","2090","rcp45","biovar09",19.6
"PER","2090","rcp45","biovar10",21.5
"PER","2090","rcp45","biovar11",19.4
"PER","2090","rcp45","biovar12",1616.1
"PER","2090","rcp45","biovar13",269.3
"PER","2090","rcp45","biovar14",47.4
"PER","2090","rcp45","biovar15",57.8
"PER","2090","rcp45","biovar16",652.6
"PER","2090","rcp45","biovar17",193.3
"PER","2090","rcp45","biovar18",502
"PER","2090","rcp45","biovar19",215.5
"PER","2090","rcp85","biovar01",22
"PER","2090","rcp85","biovar02",8.4
"PER","2090","rcp85","biovar03",73.3
"PER","2090","rcp85","biovar04",87
"PER","2090","rcp85","biovar05",27.4
"PER","2090","rcp85","biovar06",15.8
"PER","2090","rcp85","biovar07",11.6
"PER","2090","rcp85","biovar08",22.6
"PER","2090","rcp85","biovar09",21
"PER","2090","rcp85","biovar10",22.9
"PER","2090","rcp85","biovar11",20.7
"PER","2090","rcp85","biovar12",1019.6
"PER","2090","rcp85","biovar13",194.8
"PER","2090","rcp85","biovar14",24.4
"PER","2090","rcp85","biovar15",66.6
"PER","2090","rcp85","biovar16",449.3
"PER","2090","rcp85","biovar17",109.8
"PER","2090","rcp85","biovar18",342.3
"PER","2090","rcp85","biovar19",125
"PER","1995","current","biovar01",19.1
"PER","1995","current","biovar02",8.4
"PER","1995","current","biovar03",73.9
"PER","1995","current","biovar04",84.1
"PER","1995","current","biovar05",24.4
"PER","1995","current","biovar06",13
"PER","1995","current","biovar07",11.4
"PER","1995","current","biovar08",19.6
"PER","1995","current","biovar09",18.2
"PER","1995","current","biovar10",20
"PER","1995","current","biovar11",17.9
"PER","1995","current","biovar12",2080.1
"PER","1995","current","biovar13",279.6
"PER","1995","current","biovar14",83.9
"PER","1995","current","biovar15",47.7
"PER","1995","current","biovar16",780.9
"PER","1995","current","biovar17",281.9
"PER","1995","current","biovar18",628.8
"PER","1995","current","biovar19",307.8
"PER","2020","rcp45","biovar01",19.7
"PER","2020","rcp45","biovar02",8.4
"PER","2020","rcp45","biovar03",73.8
"PER","2020","rcp45","biovar04",83.8
"PER","2020","rcp45","biovar05",25
"PER","2020","rcp45","biovar06",13.5
"PER","2020","rcp45","biovar07",11.4
